Date,Invoice No,CHANNEL,Customer Name,Category,Sub Category,Part Number,Type,Qty,Amount,Sales Executive
02/08/2025,15000787,IR,CASH SALES,CHARGING,Chargers,A2674K11,SALE,2,12,MUHASIR2
02/08/2025,15000787,IR,CASH SALES,CHARGING,Utility Cables,A80F6H11,SALE,2,4.4,MUHASIR2
02/08/2025,15000787,IR,CASH SALES,CHARGING,Chargers,A2688241,SALE,1,9,MUHASIR2
02/08/2025,15000787,IR,CASH SALES,CHARGING,Utility Cables,A80F2H11,SALE,1,1.8,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Chargers,A2674K11,SALE,2,12,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Utility Cables,A80F6H11,SALE,2,4.4,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Chargers,A2688241,SALE,1,9,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Utility Cables,A80F2H11,SALE,1,1.8,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Chargers,A2736H11,SALE,2,9,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Chargers,A9213K11,SALE,2,15,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Utility Cables,A80F2H21,SALE,2,3.6,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Power Banks,A1259H31,SALE,1,12.5,MUHASIR2
02/08/2025,15000788,IR,AL AFAQ UNITED INTERNATIONAL LLC,CHARGING,Power Banks,A1617H11,SALE,1,11.5,MUHASIR2
02/08/2025,15000789,IR,ABU AL-KHATAB AL-HAJRI TRADING CO.,CHARGING,Chargers,A2688241,SALE,3,27,MUHASIR2
02/08/2025,15000789,IR,ABU AL-KHATAB AL-HAJRI TRADING CO.,CHARGING,Utility Cables,A80F2H11,SALE,3,5.4,MUHASIR2
02/08/2025,15000790,IR,BLUE LIGHT GLOBAL LLC,CHARGING,Chargers,A2674K11,SALE,20,110,THANVEER2
02/08/2025,15000790,IR,BLUE LIGHT GLOBAL LLC,CHARGING,Utility Cables,A80F6H11,SALE,20,44,THANVEER2
02/08/2025,15000790,IR,BLUE LIGHT GLOBAL LLC,CHARGING,Chargers,A2688241,SALE,20,170,THANVEER2
02/08/2025,15000790,IR,BLUE LIGHT GLOBAL LLC,CHARGING,Utility Cables,A80F2H21,SALE,20,36,THANVEER2
